kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LIB.5.sm_62.ptx 1631 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1798 : 53248 5591040 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1630 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1797 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1628 : 4096 0 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1795 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1627 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1794 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1703 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1624 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1791 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1702 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1623 : 4096 20480 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1790 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1701 : 69632 626688 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1622 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1789 : 53248 479232 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1700 : 69632 417824 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1621 : 4096 24576 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1788 : 53248 2342912 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1620 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1787 : 53248 319488 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1619 : 4096 8192 0 0 0 0 0 0 0 
ispass-2009-LIB.5.sm_62.ptx 1786 : 53248 479232 0 0 0 0 0 0 0 
